"Customer ID",Age,Gender,"Loyalty Member","Product Type",SKU,Rating,"Order Status","Payment Method","Total Price","Unit Price",Quantity,"Purchase Date","Shipping Type","Add-on Total","Add-ons Purchased1","Add-ons Purchased2","Add-ons Purchased3"
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,"Credit Card",5538.33,791.19,7,2024-03-20,Standard,40.21,Accessory,Accessory,Accessory
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,2024-04-20,Overnight,26.09,"Impulse Item",None,None
1002,41,Male,No,Laptop,SKU1005,3,Completed,"Credit Card",1855.84,463.96,4,2023-10-17,Express,0,None,None,None
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,60.16,"Impulse Item","Impulse Item",None
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,35.56,Accessory,None,None
1004,41,Female,No,Smartphone,SKU1001,5,Completed,"Credit Card",83,20.75,4,2024-05-26,Standard,65.78,"Impulse Item",Accessory,None
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,2024-01-30,Overnight,0,None,None,None
1005,25,Female,No,Laptop,SKU1005,3,Completed,"Debit Card",4175.64,463.96,9,2024-06-24,Overnight,75.33,"Extended Warranty","Extended Warranty",None
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,"Debit Card",5538.33,791.19,7,2023-10-03,Standard,43.05,"Impulse Item",None,None
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,0,None,None,None
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,2024-06-25,Overnight,90.38,"Impulse Item",Accessory,"Impulse Item"
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,"Credit Card",7120.71,791.19,9,2023-11-07,Overnight,55.48,Accessory,"Extended Warranty",None
